movieId,avg_rating,rating_count,title
318,4.429022082018927,317,"Shawshank Redemption, The (1994)"
858,4.2890625,192,"Godfather, The (1972)"
2959,4.272935779816514,218,Fight Club (1999)
1276,4.271929824561403,57,Cool Hand Luke (1967)
750,4.268041237113402,97,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
904,4.261904761904762,84,Rear Window (1954)
1221,4.25968992248062,129,"Godfather: Part II, The (1974)"
48516,4.252336448598131,107,"Departed, The (2006)"
1213,4.25,126,Goodfellas (1990)
912,4.24,100,Casablanca (1942)
58559,4.238255033557047,149,"Dark Knight, The (2008)"
50,4.237745098039215,204,"Usual Suspects, The (1995)"
1197,4.232394366197183,142,"Princess Bride, The (1987)"
260,4.231075697211155,251,Star Wars: Episode IV - A New Hope (1977)
527,4.225,220,Schindler's List (1993)
1208,4.219626168224299,107,Apocalypse Now (1979)
2329,4.217054263565892,129,American History X (1998)
1196,4.2156398104265405,211,Star Wars: Episode V - The Empire Strikes Back (1980)
1252,4.211864406779661,59,Chinatown (1974)
1198,4.2075,200,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
1193,4.203007518796992,133,One Flew Over the Cuckoo's Nest (1975)
1089,4.202290076335878,131,Reservoir Dogs (1992)
296,4.197068403908795,307,Pulp Fiction (1994)
2571,4.192446043165468,278,"Matrix, The (1999)"
1225,4.184210526315789,76,Amadeus (1984)
908,4.184210526315789,57,North by Northwest (1959)
4973,4.183333333333334,120,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)"
1199,4.177966101694915,59,Brazil (1985)
356,4.164133738601824,329,Forrest Gump (1994)
1136,4.161764705882353,136,Monty Python and the Holy Grail (1975)
593,4.161290322580645,279,"Silence of the Lambs, The (1991)"
7361,4.1603053435114505,131,Eternal Sunshine of the Spotless Mind (2004)
4011,4.155913978494624,93,Snatch (2000)
5618,4.155172413793103,87,Spirited Away (Sen to Chihiro no kamikakushi) (2001)
1203,4.149122807017544,57,12 Angry Men (1957)
3147,4.148648648648648,111,"Green Mile, The (1999)"
2324,4.1477272727272725,88,Life Is Beautiful (La Vita è bella) (1997)
6016,4.1466666666666665,75,City of God (Cidade de Deus) (2002)
2028,4.1462765957446805,188,Saving Private Ryan (1998)
1201,4.145833333333333,72,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)"
1210,4.137755102040816,196,Star Wars: Episode VI - Return of the Jedi (1983)
68157,4.136363636363637,88,Inglourious Basterds (2009)
4226,4.122641509433962,159,Memento (2000)
1207,4.120689655172414,58,To Kill a Mockingbird (1962)
7153,4.118918918918919,185,"Lord of the Rings: The Return of the King, The (2003)"
608,4.116022099447513,181,Fargo (1996)
78499,4.109090909090909,55,Toy Story 3 (2010)
4993,4.106060606060606,198,"Lord of the Rings: The Fellowship of the Ring, The (2001)"
111,4.105769230769231,104,Taxi Driver (1976)
541,4.100806451612903,124,Blade Runner (1982)
1222,4.098039215686274,102,Full Metal Jacket (1987)
2502,4.090425531914893,94,Office Space (1999)
1258,4.08256880733945,109,"Shining, The (1980)"
1704,4.078014184397163,141,Good Will Hunting (1997)
79132,4.066433566433567,143,Inception (2010)
1247,4.063291139240507,79,"Graduate, The (1967)"
1617,4.061855670103093,97,L.A. Confidential (1997)
60069,4.0576923076923075,104,WALL·E (2008)
2858,4.056372549019608,204,American Beauty (1999)
2542,4.052238805970149,67,"Lock, Stock & Two Smoking Barrels (1998)"
112852,4.0508474576271185,59,Guardians of the Galaxy (2014)
1291,4.046428571428572,140,Indiana Jones and the Last Crusade (1989)
923,4.043478260869565,69,Citizen Kane (1941)
81845,4.043103448275862,58,"King's Speech, The (2010)"
1215,4.03921568627451,51,Army of Darkness (1993)
778,4.03921568627451,102,Trainspotting (1996)
1270,4.038011695906433,171,Back to the Future (1985)
1219,4.036144578313253,83,Psycho (1960)
1148,4.035714285714286,56,Wallace & Gromit: The Wrong Trousers (1993)
953,4.0344827586206895,58,It's a Wonderful Life (1946)
6711,4.033783783783784,74,Lost in Translation (2003)
110,4.031645569620253,237,Braveheart (1995)
903,4.025,60,Vertigo (1958)
74458,4.022388059701493,67,Shutter Island (2010)
5952,4.0212765957446805,188,"Lord of the Rings: The Two Towers, The (2002)"
116797,4.02,50,The Imitation Game (2014)
293,4.018796992481203,133,Léon: The Professional (a.k.a. The Professional) (Léon) (1994)
1288,4.015151515151516,66,This Is Spinal Tap (1984)
910,4.01,50,Some Like It Hot (1959)
8874,4.0064935064935066,77,Shaun of the Dead (2004)
48780,4.0055555555555555,90,"Prestige, The (2006)"
1387,4.0054945054945055,91,Jaws (1975)
1259,4.0054945054945055,91,Stand by Me (1986)
68954,4.004761904761905,105,Up (2009)
4995,4.0,123,"Beautiful Mind, A (2001)"
51255,4.0,61,Hot Fuzz (2007)
2692,4.0,75,Run Lola Run (Lola rennt) (1998)
1206,3.995833333333333,120,"Clockwork Orange, A (1971)"
91529,3.9934210526315788,76,"Dark Knight Rises, The (2012)"
109487,3.993150684931507,73,Interstellar (2014)
1278,3.9927536231884058,69,Young Frankenstein (1974)
457,3.9921052631578946,190,"Fugitive, The (1993)"
1394,3.9913793103448274,58,Raising Arizona (1987)
1090,3.984126984126984,63,Platoon (1986)
32,3.983050847457627,177,Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
4878,3.981651376146789,109,Donnie Darko (2001)
1234,3.9765625,64,"Sting, The (1973)"
47,3.9753694581280787,203,Seven (a.k.a. Se7en) (1995)
6502,3.9741379310344827,58,28 Days Later (2002)
2804,3.9727272727272727,55,"Christmas Story, A (1983)"
589,3.970982142857143,224,Terminator 2: Judgment Day (1991)
1214,3.969178082191781,146,Alien (1979)
1200,3.9642857142857144,126,Aliens (1986)
6874,3.9618320610687023,131,Kill Bill: Vol. 1 (2003)
6377,3.9609929078014185,141,Finding Nemo (2003)
1246,3.9593023255813953,86,Dead Poets Society (1989)
2997,3.9545454545454546,99,Being John Malkovich (1999)
1653,3.953488372093023,86,Gattaca (1997)
6,3.946078431372549,102,Heat (1995)
48774,3.9453125,64,Children of Men (2006)
49272,3.9444444444444446,81,Casino Royale (2006)
1265,3.944055944055944,143,Groundhog Day (1993)
99114,3.943661971830986,71,Django Unchained (2012)
1304,3.943548387096774,62,Butch Cassidy and the Sundance Kid (1969)
76093,3.943396226415094,53,How to Train Your Dragon (2010)
364,3.941860465116279,172,"Lion King, The (1994)"
34405,3.94,50,Serenity (2005)
2194,3.9384615384615387,65,"Untouchables, The (1987)"
3578,3.9382352941176473,170,Gladiator (2000)
1035,3.9375,64,"Sound of Music, The (1965)"
3671,3.935483870967742,62,Blazing Saddles (1974)
4262,3.9328358208955225,67,Scarface (1983)
1080,3.9269662921348316,89,Monty Python's Life of Brian (1979)
16,3.926829268292683,82,Casino (1995)
1732,3.9245283018867925,106,"Big Lebowski, The (1998)"
1079,3.9225352112676055,71,"Fish Called Wanda, A (1988)"
3949,3.921875,96,Requiem for a Dream (2000)
5989,3.9217391304347826,115,Catch Me If You Can (2002)
1,3.9209302325581397,215,Toy Story (1995)
106782,3.9166666666666665,54,"Wolf of Wall Street, The (2013)"
8368,3.913978494623656,93,Harry Potter and the Prisoner of Azkaban (2004)
88125,3.91,50,Harry Potter and the Deathly Hallows: Part 2 (2011)
7143,3.903225806451613,62,"Last Samurai, The (2003)"
4034,3.9,70,Traffic (2000)
55820,3.8984375,64,No Country for Old Men (2007)
1240,3.8969465648854964,131,"Terminator, The (1984)"
924,3.8944954128440368,109,2001: A Space Odyssey (1968)
2762,3.893854748603352,179,"Sixth Sense, The (1999)"
33166,3.89,50,Crash (2004)
69844,3.8879310344827585,58,Harry Potter and the Half-Blood Prince (2009)
1028,3.887323943661972,71,Mary Poppins (1964)
80463,3.8859649122807016,57,"Social Network, The (2010)"
44191,3.885,100,V for Vendetta (2006)
46578,3.883116883116883,77,Little Miss Sunshine (2006)
919,3.880434782608696,92,"Wizard of Oz, The (1939)"
1356,3.879120879120879,91,Star Trek: First Contact (1996)
71535,3.8773584905660377,53,Zombieland (2009)
1073,3.8739495798319328,119,Willy Wonka & the Chocolate Factory (1971)
1610,3.8722222222222222,90,"Hunt for Red October, The (1990)"
4886,3.871212121212121,132,"Monsters, Inc. (2001)"
1230,3.8706896551724137,58,Annie Hall (1977)
89745,3.869565217391304,69,"Avengers, The (2012)"
7438,3.868181818181818,110,Kill Bill: Vol. 2 (2004)
50872,3.8680555555555554,72,Ratatouille (2007)
4306,3.8676470588235294,170,Shrek (2001)
3897,3.8674698795180724,83,Almost Famous (2000)
68358,3.864406779661017,59,Star Trek (2009)
54503,3.8636363636363638,55,Superbad (2007)
33794,3.8620689655172415,116,Batman Begins (2005)
54001,3.8620689655172415,58,Harry Potter and the Order of the Phoenix (2007)
1036,3.8620689655172415,145,Die Hard (1988)
2700,3.861842105263158,76,"South Park: Bigger, Longer and Uncut (1999)"
3114,3.8608247422680413,97,Toy Story 2 (1999)
1307,3.8588235294117648,85,When Harry Met Sally... (1989)
32587,3.857142857142857,84,Sin City (2005)
2791,3.8563218390804597,87,Airplane! (1980)
223,3.855769230769231,104,Clerks (1994)
73017,3.853448275862069,58,Sherlock Holmes (2009)
30707,3.8461538461538463,52,Million Dollar Baby (2004)
150,3.845771144278607,201,Apollo 13 (1995)
4963,3.8445378151260505,119,Ocean's Eleven (2001)
4848,3.843137254901961,51,Mulholland Drive (2001)
2947,3.839622641509434,53,Goldfinger (1964)
2918,3.8394495412844036,109,Ferris Bueller's Day Off (1986)
3996,3.8363636363636364,110,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)"
8961,3.836,125,"Incredibles, The (2004)"
36,3.8358208955223883,67,Dead Man Walking (1995)
590,3.8353658536585367,164,Dances with Wolves (1990)
7147,3.8333333333333335,69,Big Fish (2003)
122904,3.8333333333333335,54,Deadpool (2016)
2078,3.830188679245283,53,"Jungle Book, The (1967)"
1954,3.828125,64,Rocky (1976)
3552,3.826923076923077,52,Caddyshack (1980)
59315,3.824468085106383,94,Iron Man (2008)
5418,3.8169642857142856,112,"Bourne Identity, The (2002)"
40815,3.816901408450704,71,Harry Potter and the Goblet of Fire (2005)
553,3.8153846153846156,65,Tombstone (1993)
48394,3.814814814814815,81,"Pan's Labyrinth (Laberinto del fauno, El) (2006)"
4239,3.8137254901960786,51,Blow (2001)
1682,3.812,125,"Truman Show, The (1998)"
5010,3.81,50,Black Hawk Down (2001)
96079,3.81,50,Skyfall (2012)
63082,3.8098591549295775,71,Slumdog Millionaire (2008)
1220,3.8095238095238093,84,"Blues Brothers, The (1980)"
4027,3.8085106382978724,94,"O Brother, Where Art Thou? (2000)"
1961,3.8072916666666665,96,Rain Man (1988)
8636,3.8037974683544302,79,Spider-Man 2 (2004)
2529,3.8035714285714284,56,Planet of the Apes (1968)
1997,3.80188679245283,53,"Exorcist, The (1973)"
555,3.8,65,True Romance (1993)
4776,3.7941176470588234,51,Training Day (2001)
588,3.7923497267759565,183,Aladdin (1992)
2268,3.789473684210526,57,"Few Good Men, A (1992)"
3535,3.788135593220339,59,American Psycho (2000)
6942,3.788135593220339,59,Love Actually (2003)
8665,3.7866666666666666,75,"Bourne Supremacy, The (2004)"
1282,3.7830188679245285,53,Fantasia (1940)
333,3.78,50,Tommy Boy (1995)
109374,3.7788461538461537,52,"Grand Budapest Hotel, The (2014)"
1968,3.7787610619469025,113,"Breakfast Club, The (1985)"
6539,3.778523489932886,149,Pirates of the Caribbean: The Curse of the Black Pearl (2003)
2396,3.777173913043478,92,Shakespeare in Love (1998)
70286,3.776923076923077,65,District 9 (2009)
17,3.7761194029850746,67,Sense and Sensibility (1995)
5669,3.7758620689655173,58,Bowling for Columbine (2002)
2716,3.775,120,Ghostbusters (a.k.a. Ghost Busters) (1984)
8641,3.7719298245614037,57,Anchorman: The Legend of Ron Burgundy (2004)
595,3.7705479452054793,146,Beauty and the Beast (1991)
56367,3.769230769230769,65,Juno (2007)
1097,3.7663934426229506,122,E.T. the Extra-Terrestrial (1982)
337,3.7662337662337664,77,What's Eating Gilbert Grape (1993)
1374,3.7661290322580645,62,Star Trek II: The Wrath of Khan (1982)
49530,3.7641509433962264,53,Blood Diamond (2006)
4896,3.7616822429906542,107,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)
1641,3.7589285714285716,56,"Full Monty, The (1997)"
480,3.75,238,Jurassic Park (1993)
1527,3.7456896551724137,116,"Fifth Element, The (1997)"
3471,3.7416666666666667,60,Close Encounters of the Third Kind (1977)
1466,3.7403846153846154,52,Donnie Brasco (1997)
6333,3.723684210526316,76,X2: X-Men United (2003)
2797,3.71978021978022,91,Big (1988)
3160,3.7115384615384617,52,Magnolia (1999)
6870,3.7115384615384617,52,Mystic River (2003)
62,3.70625,80,Mr. Holland's Opus (1995)
1625,3.7012987012987013,77,"Game, The (1997)"
4022,3.7,100,Cast Away (2000)
2291,3.7,80,Edward Scissorhands (1990)
3793,3.699248120300752,133,X-Men (2000)
1784,3.6979166666666665,96,As Good as It Gets (1997)
54286,3.697530864197531,81,"Bourne Ultimatum, The (2007)"
3421,3.693548387096774,62,Animal House (1978)
474,3.692857142857143,70,In the Line of Fire (1993)
3911,3.688679245283019,53,Best in Show (2000)
5218,3.6882352941176473,85,Ice Age (2002)
4979,3.6838235294117645,68,"Royal Tenenbaums, The (2001)"
51662,3.68125,80,300 (2007)
235,3.6785714285714284,70,Ed Wood (1994)
1923,3.676190476190476,105,There's Something About Mary (1998)
2000,3.6733333333333333,75,Lethal Weapon (1987)
11,3.6714285714285713,70,"American President, The (1995)"
3481,3.6666666666666665,75,High Fidelity (2000)
2599,3.6607142857142856,56,Election (1999)
52973,3.6538461538461537,52,Knocked Up (2007)
2916,3.653409090909091,88,Total Recall (1990)
1584,3.652439024390244,82,Contact (1997)
34,3.65234375,128,Babe (1995)
3052,3.6455696202531644,79,Dogma (1999)
733,3.6404958677685952,121,"Rock, The (1996)"
2115,3.638888888888889,108,Indiana Jones and the Temple of Doom (1984)
5445,3.6375,120,Minority Report (2002)
161,3.6359223300970873,103,Crimson Tide (1995)
69122,3.6315789473684212,76,"Hangover, The (2009)"
4720,3.6272727272727274,55,"Others, The (2001)"
25,3.625,76,Leaving Las Vegas (1995)
4246,3.623076923076923,65,Bridget Jones's Diary (2001)
6378,3.6186440677966103,59,"Italian Job, The (2003)"
594,3.616883116883117,77,Snow White and the Seven Dwarfs (1937)
508,3.6136363636363638,66,Philadelphia (1993)
1500,3.610169491525424,59,Grosse Pointe Blank (1997)
353,3.609375,64,"Crow, The (1994)"
2640,3.6065573770491803,61,Superman (1978)
349,3.6045454545454545,110,Clear and Present Danger (1994)
72998,3.6030927835051547,97,Avatar (2009)
5816,3.5980392156862746,102,Harry Potter and the Chamber of Secrets (2002)
1393,3.5941176470588236,85,Jerry Maguire (1996)
4308,3.590909090909091,55,Moulin Rouge (2001)
3527,3.581967213114754,61,Predator (1987)
3175,3.58,75,Galaxy Quest (1999)
1639,3.576923076923077,52,Chasing Amy (1997)
8360,3.5760869565217392,92,Shrek 2 (2004)
2987,3.5721649484536084,97,Who Framed Roger Rabbit? (1988)
2005,3.5701754385964914,57,"Goonies, The (1985)"
163,3.5606060606060606,66,Desperado (1995)
165,3.5555555555555554,144,Die Hard: With a Vengeance (1995)
551,3.553763440860215,93,"Nightmare Before Christmas, The (1993)"
3751,3.551282051282051,78,Chicken Run (2000)
35836,3.5472972972972974,74,"40-Year-Old Virgin, The (2005)"
440,3.5460526315789473,76,Dave (1993)
2395,3.544642857142857,56,Rushmore (1998)
509,3.540983606557377,61,"Piano, The (1993)"
5349,3.540983606557377,122,Spider-Man (2002)
225,3.5384615384615383,52,Disclosure (1994)
648,3.537037037037037,162,Mission: Impossible (1996)
1517,3.535,100,Austin Powers: International Man of Mystery (1997)
454,3.5346534653465347,101,"Firm, The (1993)"
377,3.5292397660818713,171,Speed (1994)
3408,3.5285714285714285,70,Erin Brockovich (2000)
2572,3.5277777777777777,54,10 Things I Hate About You (1999)
357,3.5194174757281553,103,Four Weddings and a Funeral (1994)
300,3.5185185185185186,81,Quiz Show (1994)
5956,3.518181818181818,55,Gangs of New York (2002)
1302,3.517857142857143,56,Field of Dreams (1989)
2355,3.516304347826087,92,"Bug's Life, A (1998)"
8464,3.51,50,Super Size Me (2004)
4816,3.509259259259259,54,Zoolander (2001)
70,3.5090909090909093,55,From Dusk Till Dawn (1996)
34162,3.5086206896551726,58,Wedding Crashers (2005)
45722,3.5069444444444446,72,Pirates of the Caribbean: Dead Man's Chest (2006)
2011,3.5057471264367814,87,Back to the Future Part II (1989)
368,3.5,74,Maverick (1994)
380,3.497191011235955,178,True Lies (1994)
10,3.496212121212121,132,GoldenEye (1995)
21,3.49438202247191,89,Get Shorty (1995)
141,3.494186046511628,86,"Birdcage, The (1996)"
2353,3.4925373134328357,67,Enemy of the State (1998)
8644,3.4918032786885247,61,"I, Robot (2004)"
1580,3.487878787878788,165,Men in Black (a.k.a. MIB) (1997)
597,3.4851851851851854,135,Pretty Woman (1990)
56174,3.4838709677419355,62,I Am Legend (2007)
2321,3.4836065573770494,61,Pleasantville (1998)
3033,3.483050847457627,59,Spaceballs (1987)
3994,3.4794520547945207,73,Unbreakable (2000)
1127,3.475806451612903,62,"Abyss, The (1989)"
3081,3.475806451612903,62,Sleepy Hollow (1999)
3253,3.4754098360655736,61,Wayne's World (1992)
2174,3.4725274725274726,91,Beetlejuice (1988)
539,3.4716981132075473,106,Sleepless in Seattle (1993)
339,3.4693877551020407,98,While You Were Sleeping (1995)
2712,3.4622641509433962,53,Eyes Wide Shut (1999)
253,3.458715596330275,109,Interview with the Vampire: The Vampire Chronicles (1994)
2671,3.455357142857143,56,Notting Hill (1999)
2406,3.4537037037037037,54,Romancing the Stone (1984)
596,3.45,60,Pinocchio (1940)
3753,3.448529411764706,68,"Patriot, The (2000)"
780,3.4455445544554455,202,Independence Day (a.k.a. ID4) (1996)
59784,3.4444444444444446,54,Kung Fu Panda (2008)
41566,3.443548387096774,62,"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)"
104,3.4393939393939394,99,Happy Gilmore (1996)
53125,3.4375,56,Pirates of the Caribbean: At World's End (2007)
91500,3.435185185185185,54,The Hunger Games (2012)
587,3.4347826086956523,115,Ghost (1990)
2,3.4318181818181817,110,Jumanji (1995)
33493,3.4294871794871793,78,Star Wars: Episode III - Revenge of the Sith (2005)
592,3.4285714285714284,189,Batman (1989)
292,3.4257425742574257,101,Outbreak (1995)
2081,3.425373134328358,67,"Little Mermaid, The (1989)"
1777,3.419642857142857,56,"Wedding Singer, The (1998)"
3948,3.4175824175824174,91,Meet the Parents (2000)
1721,3.414285714285714,140,Titanic (1997)
1645,3.411764705882353,51,The Devil's Advocate (1997)
1370,3.4044117647058822,68,Die Hard 2 (1990)
6863,3.4015151515151514,66,School of Rock (2003)
2080,3.4,55,Lady and the Tramp (1955)
266,3.3970588235294117,68,Legends of the Fall (1994)
329,3.3935185185185186,108,Star Trek: Generations (1994)
500,3.388888888888889,144,Mrs. Doubtfire (1993)
708,3.3879310344827585,58,"Truth About Cats & Dogs, The (1996)"
350,3.3859649122807016,57,"Client, The (1994)"
2706,3.378640776699029,103,American Pie (1999)
316,3.375,140,Stargate (1994)
2985,3.3714285714285714,70,RoboCop (1987)
1573,3.3701298701298703,77,Face/Off (1997)
2012,3.3693181818181817,88,Back to the Future Part III (1990)
2167,3.3620689655172415,58,Blade (1998)
3489,3.358490566037736,53,Hook (1991)
45499,3.355769230769231,52,X-Men: The Last Stand (2006)
6365,3.3541666666666665,96,"Matrix Reloaded, The (2003)"
48385,3.3461538461538463,65,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006)
1608,3.3448275862068964,58,Air Force One (1997)
2657,3.3412698412698414,63,"Rocky Horror Picture Show, The (1975)"
2105,3.34,50,Tron (1982)
4370,3.3392857142857144,56,A.I. Artificial Intelligence (2001)
1676,3.33125,80,Starship Troopers (1997)
736,3.321138211382114,123,Twister (1996)
6373,3.316901408450704,71,Bruce Almighty (2003)
1101,3.3012048192771086,83,Top Gun (1986)
39,3.293269230769231,104,Clueless (1995)
33679,3.2796610169491527,59,Mr. & Mrs. Smith (2005)
5299,3.2666666666666666,60,My Big Fat Greek Wedding (2002)
2302,3.26271186440678,59,My Cousin Vinny (1992)
552,3.262295081967213,61,"Three Musketeers, The (1993)"
3,3.2596153846153846,52,Grumpier Old Men (1995)
145,3.2450980392156863,51,Bad Boys (1995)
288,3.233695652173913,92,Natural Born Killers (1994)
3717,3.221311475409836,61,Gone in 60 Seconds (2000)
317,3.2037037037037037,81,"Santa Clause, The (1994)"
1407,3.2,70,Scream (1996)
2683,3.1983471074380163,121,Austin Powers: The Spy Who Shagged Me (1999)
7,3.185185185185185,54,Sabrina (1995)
367,3.1847133757961785,157,"Mask, The (1994)"
2470,3.175438596491228,57,Crocodile Dundee (1986)
5502,3.1666666666666665,63,Signs (2002)
5378,3.157608695652174,92,Star Wars: Episode II - Attack of the Clones (2002)
4447,3.15625,64,Legally Blonde (2001)
6934,3.151898734177215,79,"Matrix Revolutions, The (2003)"
34048,3.15,50,War of the Worlds (2005)
48,3.1470588235294117,68,Pocahontas (1995)
1380,3.139705882352941,68,Grease (1978)
4018,3.138888888888889,54,What Women Want (2000)
520,3.130434782608696,69,Robin Hood: Men in Tights (1993)
2617,3.1206896551724137,87,"Mummy, The (1999)"
2424,3.12,50,You've Got Mail (1998)
2100,3.1176470588235294,51,Splash (1984)
786,3.109375,64,Eraser (1996)
2628,3.107142857142857,140,Star Wars: Episode I - The Phantom Menace (1999)
410,3.1011904761904763,84,Addams Family Values (1993)
2006,3.1,60,"Mask of Zorro, The (1998)"
1391,3.0930232558139537,86,Mars Attacks! (1996)
442,3.0925925925925926,81,Demolition Man (1993)
653,3.0923076923076924,65,Dragonheart (1996)
168,3.0833333333333335,54,First Knight (1995)
370,3.060344827586207,58,Naked Gun 33 1/3: The Final Insult (1994)
231,3.0601503759398496,133,Dumb & Dumber (Dumb and Dumber) (1994)
4025,3.0546875,64,Miss Congeniality (2000)
1917,3.0543478260869565,92,Armageddon (1998)
8361,3.05,50,"Day After Tomorrow, The (2004)"
344,3.040372670807453,161,Ace Ventura: Pet Detective (1994)
185,3.0401785714285716,112,"Net, The (1995)"
434,3.0346534653465347,101,Cliffhanger (1993)
1552,3.0338983050847457,59,Con Air (1997)
1485,3.0337837837837838,74,Liar Liar (1997)
1377,3.025,60,Batman Returns (1992)
95,3.0238095238095237,84,Broken Arrow (1996)
30793,3.0,61,Charlie and the Chocolate Factory (2005)
586,2.9956896551724137,116,Home Alone (1990)
5459,2.959016393442623,61,Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2) (2002)
485,2.9339622641509435,53,Last Action Hero (1993)
3785,2.92,50,Scary Movie (2000)
153,2.9160583941605838,137,Batman Forever (1995)
208,2.9130434782608696,115,Waterworld (1995)
160,2.8771929824561404,57,Congo (1995)
466,2.8666666666666667,60,Hot Shots! Part Deux (1993)
5481,2.8461538461538463,65,Austin Powers in Goldmember (2002)
2699,2.811320754716981,53,Arachnophobia (1990)
158,2.806451612903226,62,Casper (1995)
784,2.8055555555555554,54,"Cable Guy, The (1996)"
2710,2.796875,64,"Blair Witch Project, The (1999)"
2054,2.7573529411764706,68,"Honey, I Shrunk the Kids (1989)"
1544,2.753731343283582,67,"Lost World: Jurassic Park, The (1997)"
788,2.731707317073171,82,"Nutty Professor, The (1996)"
19,2.727272727272727,88,Ace Ventura: When Nature Calls (1995)
3977,2.7222222222222223,72,Charlie's Angels (2000)
420,2.7203389830508473,59,Beverly Hills Cop III (1994)
3623,2.7142857142857144,77,Mission: Impossible II (2000)
673,2.707547169811321,53,Space Jam (1996)
172,2.6792452830188678,53,Johnny Mnemonic (1995)
173,2.6693548387096775,62,Judge Dredd (1995)
432,2.6454545454545455,55,City Slickers II: The Legend of Curly's Gold (1994)
435,2.4206349206349205,63,Coneheads (1993)
2701,2.207547169811321,53,Wild Wild West (1999)
